qid,ap
577,1.000000
578,0.014706
579,1.000000
58,0.000000
580,0.500000
581,0.037037
582,0.500000
583,0.500000
584,0.500000
585,1.000000
586,0.032258
587,1.000000
588,0.090909
589,1.000000
59,0.000000
590,0.010309
591,0.016667
592,0.000000
593,1.000000
594,0.333333
595,0.058824
596,1.000000
6,0.038462
60,0.200000
61,0.000000
62,0.000000
63,0.000000
64,1.000000
65,0.642857
66,1.000000
67,0.013514
68,0.833333
69,0.200000
7,0.500000
70,0.028571
71,0.025000
72,0.071429
73,0.055556
74,0.250000
75,0.000000
76,1.000000
77,0.333333
78,0.034483
79,0.058824
8,0.614379
80,0.150000
81,1.000000
82,1.000000
83,0.090909
84,0.000000
85,0.500000
86,0.500000
87,0.142857
88,1.000000
89,0.500000
9,0.000000
90,1.000000
91,0.500000
92,0.005882
93,0.047149
94,0.500000
95,0.258143
96,0.082784
97,0.500000
98,0.027027
99,1.000000
