qid,map
267,0.500000
268,0.500000
269,0.000000
27,0.250000
270,0.037037
271,0.031250
272,0.000000
273,0.000000
274,0.041667
275,0.500000
276,0.500000
277,0.034483
278,0.000000
279,0.038462
28,0.111111
280,1.000000
281,1.000000
282,0.000000
283,0.200000
284,0.333333
285,0.000000
286,1.000000
287,0.000000
288,0.034483
289,0.250000
29,0.037037
290,1.000000
291,0.058824
292,0.000000
293,1.000000
294,0.250000
295,0.200000
296,0.000000
297,0.000000
298,0.071429
299,0.142857
3,0.018519
30,0.000000
300,0.000000
301,0.000000
302,0.000000
303,0.000000
304,0.000000
305,1.000000
306,1.000000
307,0.000000
308,0.000000
309,0.250000
31,0.142857
310,0.000000
311,0.035714
312,0.000000
313,0.166667
314,0.566667
315,0.000000
316,0.000000
317,1.000000
318,0.045455
319,0.022727
32,0.142857
320,1.000000
321,0.000000
322,1.000000
323,0.000000
324,0.000000
325,0.000000
326,0.000000
327,0.500000
328,0.100000
329,1.000000
33,0.028571
330,1.000000
331,0.000000
332,0.500000
333,0.032258
334,0.055556
335,0.055556
336,0.000000
337,0.000000
338,0.090909
339,0.058824
34,0.000000
340,0.000000
341,0.000000
342,0.066667
343,0.000000
344,0.000000
345,1.000000
346,0.027778
347,0.000000
348,0.000000
349,0.000000
35,0.025000
350,0.000000
351,0.333333
352,0.000000
353,0.000000
354,0.000000
355,0.045455
356,0.000000
357,0.028571
358,1.000000
359,0.500000
36,0.031250
360,0.000000
361,1.000000
362,0.000000
363,0.000000
364,0.000000
365,1.000000
366,0.000000
367,1.000000
368,0.000000
369,0.000000
37,0.111111
370,0.125000
371,0.000000
372,0.000000
373,0.071429
374,1.000000
375,0.025641
376,1.000000
377,0.035714
378,0.000000
379,0.000000
38,0.000000
380,0.000000
381,0.111111
382,0.000000
383,0.045455
384,0.000000
385,0.000000
386,0.071429
387,0.038462
388,0.083333
389,0.000000
39,0.000000
390,0.100000
391,0.125000
392,0.000000
393,0.000000
394,0.000000
395,0.000000
396,1.000000
397,0.000000
398,1.000000
399,0.071429
4,0.000000
40,0.038462
400,0.200000
401,0.000000
402,0.043478
403,0.000000
404,0.000000
405,0.000000
406,0.000000
407,1.000000
408,0.500000
409,0.000000
41,0.000000
410,1.000000
