qid,map
292,0.000000
293,0.333333
294,0.029412
295,0.000000
296,0.000000
297,0.000000
298,0.000000
299,0.000000
3,0.011364
30,0.000000
300,0.000000
301,0.000000
302,0.000000
303,0.000000
304,0.000000
305,0.043478
306,0.022727
307,0.030303
308,0.000000
309,0.000000
31,0.125000
310,0.043478
311,0.000000
312,0.000000
313,0.000000
314,0.043561
315,0.000000
316,0.200000
317,1.000000
318,0.000000
319,0.028571
32,0.142857
320,0.000000
321,0.000000
322,0.200000
323,0.000000
324,0.000000
325,0.022727
326,0.000000
327,0.000000
328,0.025000
329,0.000000
33,0.250000
330,1.000000
331,0.000000
332,0.000000
333,0.000000
334,0.000000
335,0.000000
336,0.000000
337,0.000000
338,0.000000
339,0.000000
34,0.000000
340,0.000000
341,0.043478
342,0.000000
343,0.000000
344,0.000000
345,1.000000
346,0.027778
347,0.000000
348,0.000000
349,0.025000
35,0.000000
350,0.000000
351,0.250000
352,0.000000
353,0.000000
354,0.000000
355,0.500000
356,0.000000
357,0.000000
358,1.000000
359,0.166667
36,0.031250
360,0.000000
361,0.500000
362,0.000000
363,0.000000
364,0.000000
365,0.000000
366,0.000000
367,0.125000
368,0.125000
369,0.000000
37,0.027778
370,0.250000
371,0.000000
372,0.071429
373,0.200000
374,0.500000
375,0.250000
376,0.166667
377,0.076923
378,0.000000
379,0.090909
38,0.000000
380,0.000000
381,0.000000
382,0.000000
383,0.000000
384,0.000000
385,0.000000
386,0.076923
387,0.021739
388,0.250000
389,0.000000
39,0.000000
390,0.000000
391,0.125000
392,0.000000
393,0.000000
394,0.000000
395,0.000000
396,0.250000
397,0.000000
398,0.043478
399,0.058824
4,0.000000
40,0.000000
400,0.200000
401,0.000000
402,0.000000
403,0.000000
404,0.000000
405,0.000000
406,0.000000
407,0.500000
408,0.027778
409,0.000000
41,0.000000
410,0.125000
411,0.000000
412,0.200000
413,0.500000
414,0.000000
415,0.111111
416,0.000000
417,0.000000
418,0.500000
419,0.000000
42,0.326923
420,0.047619
421,0.066667
422,0.000000
423,0.000000
424,0.000000
425,1.000000
426,0.000000
427,0.000000
428,0.125000
429,0.000000
43,0.000000
430,0.000000
431,0.333333
432,0.000000
433,0.000000
434,0.083333
435,1.000000
436,0.000000
437,0.066667
438,0.000000
439,0.100000
44,0.055556
440,0.250000
441,1.000000
442,0.500000
443,1.000000
444,0.000000
445,0.000000
446,0.021277
447,0.333333
448,1.000000
449,0.125000
45,0.000000
450,0.083333
451,0.000000
452,0.000000
453,0.000000
454,0.000000
455,1.000000
456,0.041667
457,0.333333
458,0.166667
459,0.500000
46,0.333333
460,0.021277
461,0.166667
462,0.166667
463,0.035714
464,0.250000
465,0.052632
466,0.062500
467,0.000000
468,0.034483
469,0.166667
47,0.000000
470,0.250000
471,0.000000
472,0.037037
473,0.000000
474,0.166667
475,0.000000
476,1.000000
477,0.333333
478,0.040000
479,0.000000
48,0.142857
480,0.000000
481,0.125000
482,0.000000
483,0.037037
484,0.000000
485,0.142857
486,1.000000
487,0.025641
488,0.200000
489,0.000000
49,0.000000
490,0.250000
491,0.333333
492,0.166667
493,0.333333
494,0.333333
495,0.000000
496,0.000000
497,0.166667
498,0.000000
499,0.250000
5,1.000000
50,0.090909
500,0.142857
501,0.034483
502,0.032258
503,1.000000
504,0.000000
505,0.125000
506,0.000000
507,0.000000
508,0.142857
509,0.000000
51,0.000000
510,0.000000
511,0.041667
512,0.047619
513,0.500000
514,0.000000
515,0.000000
516,1.000000
517,0.027027
518,0.076923
519,0.000000
52,0.000000
520,0.000000
521,0.000000
522,0.000000
523,0.023256
524,0.000000
525,0.333333
526,1.000000
527,0.000000
528,0.043478
529,0.250000
53,0.500000
530,0.333333
531,0.111111
532,0.000000
533,0.038462
534,0.020833
535,0.250000
536,0.200000
537,0.111111
538,0.000000
539,0.055556
54,0.500000
540,0.000000
541,1.000000
542,0.033333
543,0.000000
544,0.000000
545,0.142857
546,0.333333
547,0.050000
548,0.125000
549,0.250000
55,0.000000
550,0.000000
551,0.500000
552,0.000000
553,0.200000
554,0.000000
555,0.025641
556,0.000000
557,0.000000
558,0.000000
559,0.000000
56,0.000000
560,0.000000
561,0.333333
562,0.200000
563,0.000000
564,0.038462
565,0.052632
566,0.000000
567,0.111111
568,0.058974
569,0.027778
57,0.058824
570,0.071429
571,1.000000
572,0.000000
573,1.000000
574,0.023256
575,0.000000
576,0.000000
577,1.000000
578,0.021277
579,0.035714
58,0.000000
580,0.000000
581,0.000000
582,0.500000
583,0.500000
584,0.125000
585,0.250000
586,0.000000
587,0.100000
588,0.500000
589,0.500000
59,0.000000
590,0.000000
591,0.000000
592,0.000000
593,0.029412
594,0.500000
595,0.000000
596,1.000000
6,0.200000
60,0.083333
61,0.000000
62,0.000000
63,0.000000
64,0.090909
65,0.000000
66,0.000000
67,0.000000
68,0.012821
69,0.071429
7,0.125000
70,0.000000
71,0.000000
72,0.200000
73,0.040000
74,0.100000
75,0.000000
76,0.000000
77,0.142857
78,0.000000
79,0.000000
8,0.166667
80,0.019231
81,0.500000
82,0.000000
83,0.031250
84,0.000000
85,0.333333
86,0.000000
87,0.023810
88,0.090909
89,0.166667
